1417566841225060357 2021-07-20 15:27:26 -0400 <viren_lathiya> Check out my latest article: The Future of Influencer Marketing Is Here  https://t.co/pH4yx4VKbh via @LinkedIn   #InfluencerMarketing #B413 #MyGBC | 0 replies 0 retweets 0 likes
1415377271616122883 2021-07-14 14:26:52 -0400 <viren_lathiya> @AnushaS91 @GCB_Bungee This is @GCB_Bungee in Gatineau, Quebec. It was the best experience of my life 🔥 | 0 replies 0 retweets 0 likes
1414950907813453833 2021-07-13 10:12:39 -0400 <viren_lathiya> @adi_montas I'm fully vaccinated and also started traveling 🏖️ #free | 1 replies 0 retweets 1 likes
1414945669035528209 2021-07-13 09:51:50 -0400 <viren_lathiya> My Top 5 Marketing Analytics Tools:  1. @googleanalytics - Analyze Your Campaign With Deeper Data 2. @Moz - S.E.O Analytics Tool 3. @Kissmetrics - Behavioral Analytics Tool 4. @CrazyEgg - Heat Map on Websites 5. @BuzzSumo - Content/Social Analysis  #MARK1051 #KnowYourSocial #AI  https://t.co/wUM9PetYMh | 0 replies 3 retweets 7 likes
1414332023267860487 2021-07-11 17:13:26 -0400 <viren_lathiya> 3....2....1 Jump, Adrenaline is Flowing !! 🔥  Just did Canada's highest bungee jump 200 ft high. Rebounce 160ft. and a boat ride back thinking how crazy was it.   Sky Dive Next 🔜  #MARK1051 #bungee #Weekend  https://t.co/CIOibw4Zio | 2 replies 0 retweets 10 likes
1413261815375667205 2021-07-08 18:20:48 -0400 <viren_lathiya> My Top 5 Search Engine Optimization Tools:  1. @Moz - For Smarter Marketing 2. @ubersuggest_seo - Generating New Keyword Ideas 3. @semrush - For Competitive Research 4. @mangools_com - SERP Checker 5. @ahrefs - Biggest Index Of Live Backlinks  #MARK1051 #KnowYourSocial #SEO  https://t.co/blnNMFEh7J | 0 replies 0 retweets 4 likes
1413122026278162433 2021-07-08 09:05:20 -0400 <viren_lathiya> @adi_montas I have a whole new list for S.E.O tools you need in 2021. Will share it soon 🙌 | 1 replies 0 retweets 1 likes
1412848896640884740 2021-07-07 15:00:01 -0400 <viren_lathiya> My Top 5 Social Media Tools:  1. @GoogleTrends - For Checking Current Trends 2. @unsplash - For High-Quality Images 3. @ZohoSocial - For Scheduling &amp; Analytics 4. @Bitly - For Custom Short URL's 5. @canva - For a Quick Social Media Template  #MARK1051 #KnowYourSocial #bufferchat | 0 replies 0 retweets 4 likes
1412832900140183554 2021-07-07 13:56:27 -0400 <viren_lathiya> Podcasting has become a strong form of media the with listenership increasing in all age groups  Overall, more listeners are listening to more podcasts per week as compared to 2020 in which 51% of listeners listened to only 1-3 podcasts per week.  #SemrushChat #podcast #MARK1051 | 2 replies 0 retweets 2 likes
1412531907661864961 2021-07-06 18:00:25 -0400 <viren_lathiya> 10 Smart Tools for Social Media Marketing in 2021  https://t.co/rXxkH9tTQ5 #MARK1051 #KnowYourSocial #SMM #B413 | 0 replies 0 retweets 0 likes
1412456543593930752 2021-07-06 13:00:56 -0400 <viren_lathiya> Instagram Messaging for Business: Why It’s Essential | Emplifi | Emplifi  https://t.co/Cuc7wQnxUe #MARK1051 #KnowYourSocial #Instagram #B413 | 0 replies 0 retweets 1 likes
1412396072908034051 2021-07-06 09:00:39 -0400 <viren_lathiya> How Often Should You Post on Social Media? (A Lot Less Than Hootsuite Is Telling You)  https://t.co/VyQaHiYLLj #MARK1051 #KnowYourSocial #Hootsuite #B413 | 0 replies 0 retweets 0 likes
1412248696780214274 2021-07-05 23:15:02 -0400 <viren_lathiya> 5 Ways to Step Up Your Distributor Social Media Marketing  https://t.co/dd6sPTOQqv #MARK1051 #KnowYourSocial #Business #SMM | 0 replies 0 retweets 0 likes
1412226045168738306 2021-07-05 21:45:01 -0400 <viren_lathiya> LinkedIn Shares Insights Into Gender and Racial Diversity in the... -  https://t.co/cnORhsXjfM via @trendspottr #MARK1051 #KnowYourSocial #LinkedIn | 0 replies 0 retweets 0 likes
1412210949520506880 2021-07-05 20:45:02 -0400 <viren_lathiya> Social shorts: Facebook launches Pinterest lookalike app, Instagram tests ‘Latest Posts’ feature, Snapchat could be getting a new look  https://t.co/0Bvj8Mj7Y4 #MARK1051 #KnowYourSocial #Social | 0 replies 0 retweets 0 likes
